time_ms,temperature,heater
0,26.6953125,0.0
1,26.6796875,1.0
1,26.671875,1.0
101,26.6953125,1.0
201,26.6953125,1.0
302,26.703125,1.0
403,26.671875,1.0
505,26.6484375,1.0
605,26.6953125,1.0
705,26.6328125,1.0
806,26.65625,1.0
906,26.6484375,1.0
1006,26.703125,1.0
1107,26.6484375,1.0
1207,26.703125,1.0
1307,26.703125,1.0
1407,26.71875,1.0
1507,26.703125,1.0
1607,26.765625,1.0
1707,26.734375,1.0
1807,26.6953125,1.0
1907,26.6796875,1.0
2007,26.65625,1.0
2107,26.671875,1.0
2207,26.6953125,1.0
2307,26.6328125,1.0
2408,26.625,1.0
2510,26.6796875,1.0
2611,26.671875,1.0
2711,26.65625,1.0
2812,26.6796875,1.0
2912,26.6796875,1.0
3012,26.6796875,1.0
3112,26.703125,1.0
3212,26.6796875,1.0
3312,26.6484375,1.0
3412,26.6796875,1.0
3512,26.6796875,1.0
3612,26.6953125,1.0
3712,26.8046875,1.0
3812,26.71875,1.0
3912,26.7578125,1.0
4012,26.7578125,1.0
4113,26.703125,1.0
4213,26.765625,1.0
4314,26.7890625,1.0
4414,26.8046875,1.0
4516,26.8046875,1.0
4616,26.84375,1.0
4716,26.828125,1.0
4817,26.765625,1.0
4917,26.78125,1.0
5017,26.890625,1.0
5117,26.84375,1.0
5217,26.8515625,1.0
5317,26.8125,1.0
5417,26.8515625,1.0
5517,26.84375,1.0
5617,26.8984375,1.0
5717,26.953125,1.0
5817,27.0078125,1.0
5917,26.9765625,1.0
6017,27.0,1.0
6117,27.0390625,1.0
6217,27.09375,1.0
6317,27.0625,1.0
6417,27.0390625,1.0
6517,27.09375,1.0
6617,27.078125,1.0
6718,27.171875,1.0
6820,27.125,1.0
6921,27.1640625,1.0
7022,27.2734375,1.0
7123,27.28125,1.0
7224,27.25,1.0
7324,27.359375,1.0
7424,27.359375,1.0
7524,27.3671875,1.0
7624,27.421875,1.0
7724,27.3828125,1.0
7824,27.3828125,1.0
7924,27.421875,1.0
8024,27.5859375,1.0
8124,27.5625,1.0
8224,27.6171875,1.0
8324,27.671875,1.0
8424,27.671875,1.0
8525,27.671875,1.0
8626,27.6953125,1.0
8727,27.703125,1.0
8829,27.765625,1.0
8930,27.8125,1.0
9031,27.875,1.0
9132,27.890625,1.0
9233,27.828125,1.0
9333,27.875,1.0
9433,27.96875,1.0
9533,28.0234375,1.0
9634,28.09375,1.0
9734,28.09375,1.0
9834,28.1328125,1.0
9935,28.140625,1.0
10035,28.1796875,1.0
10135,28.2734375,1.0
10236,28.2734375,1.0
10336,28.3359375,1.0
10436,28.40625,1.0
10536,28.4296875,1.0
10636,28.421875,1.0
10736,28.4296875,1.0
10836,28.5,1.0
10936,28.4765625,1.0
11036,28.625,1.0
11136,28.6796875,1.0
11236,28.6796875,1.0
11336,28.71875,1.0
11436,28.8046875,1.0
11536,28.7890625,1.0
11636,28.7890625,1.0
11737,28.828125,1.0
11838,28.921875,1.0
11940,28.875,1.0
12040,28.9375,1.0
12140,28.9921875,1.0
12241,29.0703125,1.0
12341,29.078125,1.0
12441,29.09375,1.0
12541,29.2578125,1.0
12641,29.28125,1.0
12741,29.234375,1.0
12842,29.296875,1.0
12943,29.4765625,1.0
13044,29.4296875,1.0
13144,29.3828125,1.0
13244,29.4296875,1.0
13344,29.5,1.0
13444,29.609375,1.0
13544,29.609375,1.0
13646,29.671875,1.0
13747,29.6796875,1.0
13847,29.71875,1.0
13948,29.8125,1.0
14048,29.8515625,1.0
14148,29.9375,1.0
14248,29.9609375,1.0
14348,29.984375,1.0
14448,30.0390625,1.0
14548,30.078125,1.0
14648,30.140625,1.0
14748,30.1171875,1.0
14849,30.1484375,1.0
14949,30.2734375,1.0
15049,30.296875,1.0
15149,30.328125,1.0
15249,30.3515625,1.0
15349,30.4296875,1.0
15449,30.4296875,1.0
15549,30.4765625,1.0
15650,30.6328125,1.0
15751,30.640625,1.0
15852,30.6796875,1.0
15953,30.75,1.0
16053,30.7109375,1.0
16153,30.7421875,1.0
16253,30.8359375,1.0
16353,30.8984375,1.0
16453,30.9765625,1.0
16553,31.0234375,1.0
16653,31.0234375,1.0
16754,31.1015625,1.0
16855,31.109375,1.0
16955,31.1484375,1.0
17055,31.2109375,1.0
17155,31.234375,1.0
17255,31.265625,1.0
17355,31.3046875,1.0
17455,31.3359375,1.0
17555,31.3984375,1.0
17656,31.484375,1.0
17756,31.5078125,1.0
17857,31.546875,1.0
17959,31.625,1.0
18059,31.625,1.0
18159,31.6640625,1.0
18259,31.796875,1.0
18359,31.8203125,1.0
18459,31.9296875,1.0
18559,32.0078125,1.0
18659,31.9375,1.0
18760,31.9296875,1.0
18861,31.9765625,1.0
18961,32.0625,1.0
19061,32.09375,1.0
19161,32.1796875,1.0
19261,32.21875,1.0
19362,32.2265625,1.0
19462,32.2734375,1.0
19562,32.359375,1.0
19663,32.40625,1.0
19763,32.46875,1.0
19864,32.453125,1.0
19965,32.5390625,1.0
20065,32.6015625,1.0
20165,32.703125,1.0
20265,32.6796875,1.0
20365,32.71875,1.0
20465,32.7890625,1.0
20565,32.8046875,1.0
20665,32.8359375,1.0
20766,32.8984375,1.0
20867,32.984375,1.0
20968,32.9609375,1.0
21069,33.015625,1.0
21169,33.0390625,1.0
21269,33.1875,1.0
21370,33.1875,1.0
21470,33.265625,1.0
21570,33.328125,1.0
21672,33.3203125,1.0
21772,33.34375,1.0
21872,33.390625,1.0
21972,33.4765625,1.0
22072,33.5,1.0
22172,33.5546875,1.0
22272,33.6796875,1.0
22372,33.65625,1.0
22472,33.7265625,1.0
22572,33.75,1.0
22673,33.8203125,1.0
22774,33.7890625,1.0
22874,33.9296875,1.0
22974,33.9609375,1.0
23075,34.0234375,1.0
23175,34.0859375,1.0
23275,34.0625,1.0
23376,34.109375,1.0
23476,34.21875,1.0
23576,34.2890625,1.0
23677,34.2890625,1.0
23777,34.2890625,1.0
23877,34.3515625,1.0
23977,34.3828125,1.0
24077,34.5078125,1.0
24177,34.5390625,1.0
24277,34.5859375,1.0
24377,34.625,1.0
24477,34.703125,1.0
24577,34.71875,1.0
24677,34.71875,1.0
24777,34.8125,1.0
24877,34.859375,1.0
24977,34.90625,1.0
25077,34.90625,1.0
25178,34.96875,1.0
25279,34.9921875,1.0
25381,35.0546875,1.0
25482,35.140625,1.0
25583,35.234375,1.0
25685,35.1953125,1.0
25785,35.2578125,1.0
25885,35.3203125,1.0
25985,35.3515625,1.0
26085,35.375,1.0
26185,35.421875,1.0
26285,35.3984375,1.0
26385,35.578125,1.0
26485,35.59375,1.0
26585,35.671875,0.9749119877815247
26685,35.703125,0.9658079743385315
26786,35.7109375,0.9750080108642578
26886,35.7734375,0.9416800141334534
26986,35.84375,0.9027680158615112
27087,35.8828125,0.8886399865150452
27187,35.9296875,0.8686559796333313
27287,35.9140625,0.8973760008811951
27388,36.0078125,0.8409119844436646
27488,36.1640625,0.7368320226669312
27588,36.09375,0.8098400235176086
27688,36.1171875,0.8091199994087219
27788,36.1328125,0.8144479990005493
27888,36.296875,0.7046560049057007
27988,36.2734375,0.7417600154876709
28088,36.296875,0.7419999837875366
28188,36.3203125,0.7422239780426025
28288,36.3828125,0.7121599912643433
28388,36.4296875,0.6946240067481995
28488,36.5390625,0.6288959980010986
28588,36.5703125,0.624671995639801
28688,36.609375,0.6144480109214783
28788,36.6484375,0.6043519973754883
28888,36.765625,0.533840000629425
28988,36.7734375,0.5491200089454651
29088,36.8359375,0.521776020526886
29188,36.890625,0.5008800029754639
29288,36.890625,0.5226560235023499
29389,36.96875,0.483568012714386
29489,36.9765625,0.4995200037956238
29589,37.0234375,0.48495998978614807
29690,37.1015625,0.446368008852005
29790,37.15625,0.4265120029449463
29890,37.15625,0.4492959976196289
29991,37.1953125,0.44147199392318726
30091,37.25,0.4216479957103729
30191,37.2890625,0.41420799493789673
30291,37.328125,0.4068639874458313
30391,37.421875,0.357232004404068
30491,37.4296875,0.37491199374198914
30591,37.46875,0.3680959939956665
30691,37.5625,0.3189919888973236
30791,37.5625,0.34324800968170166
30891,37.6328125,0.3126559853553772
30991,37.6484375,0.324864000082016
31091,37.7421875,0.27633601427078247
31191,37.7578125,0.2890560030937195
31291,37.828125,0.25920000672340393
31391,37.8515625,0.26607999205589294
31491,37.9609375,0.20625600218772888
31591,37.9921875,0.2078399956226349
31691,37.9921875,0.23360000550746918
31791,37.9609375,0.2831839919090271
31892,38.03125,0.25332799553871155
31994,38.1171875,0.2117920070886612
32095,38.1171875,0.23745599389076233
32195,38.125,0.2566719949245453
32296,38.1640625,0.2513760030269623
32396,38.296875,0.17348800599575043
32496,38.3046875,0.19358399510383606
32596,38.3515625,0.183119997382164
32696,38.3359375,0.22121599316596985
32796,38.3515625,0.23454399406909943
32896,38.484375,0.1568479984998703
32996,38.515625,0.1589599996805191
33096,38.484375,0.20947200059890747
33196,38.5390625,0.1926400065422058
33296,38.5625,0.20027199387550354
33396,38.6640625,0.14721600711345673
33496,38.6875,0.15547199547290802
33596,38.6953125,0.17569600045681
33696,38.734375,0.17140799760818481
33796,38.828125,0.12476799637079239
33896,38.78125,0.18779200315475464
33997,38.84375,0.16512000560760498
34097,38.921875,0.13065600395202637
34197,38.9140625,0.16327999532222748
34298,38.8515625,0.2378080040216446
34398,38.984375,0.15985600650310516
34498,39.046875,0.13753600418567657
34599,39.03125,0.17606399953365326
34699,39.0625,0.17769600450992584
34799,39.078125,0.19139200448989868
34899,39.1484375,0.16249600052833557
