Temperature,Value,Error
2.696666666666666323e+00,4.051320175419837355e+00,5.224996085701173465e-01
2.716781609195401792e+00,3.122935211335786665e+00,4.182713098757288583e-01
2.736896551724137705e+00,4.502830444970889801e+00,6.989830810612690515e-01
2.757011494252873618e+00,3.145538100320150132e+00,6.199304735404508326e-01
2.777126436781609087e+00,3.047587227767571072e+00,4.807268637757122209e-01
2.797241379310344556e+00,3.527212737138064824e+00,4.857694129169148889e-01
2.817356321839080024e+00,3.303945451285507318e+00,4.210180178155800701e-01
2.837471264367815937e+00,3.853206305802960863e+00,4.434838018786715907e-01
2.857586206896551406e+00,3.090235109747682785e+00,5.696104009040040550e-01
2.877701149425287319e+00,3.963237912895626547e+00,4.824793321905465060e-01
2.897816091954022788e+00,2.740570007247253415e+00,4.521387234938382682e-01
2.917931034482758257e+00,3.027122829623644318e+00,3.429435903189542167e-01
2.938045977011493726e+00,3.318061049157257969e+00,3.854313063024907282e-01
2.958160919540229639e+00,2.476814956660908784e+00,2.347461118355615717e-01
2.978275862068965552e+00,2.583537809833652332e+00,3.138322850052041590e-01
2.998390804597701020e+00,2.646238738673013291e+00,4.057855174371703399e-01
3.018505747126436489e+00,2.674511124837807063e+00,3.457561587412084636e-01
3.038620689655171958e+00,3.151610833580715809e+00,4.351002301802457950e-01
3.058735632183907871e+00,3.147484510756602738e+00,2.841888650202003541e-01
3.078850574712643340e+00,2.094466450835366533e+00,1.836186212473217005e-01
3.098965517241379253e+00,2.531643884549458434e+00,2.216235977662345258e-01
3.119080459770114722e+00,2.175368872517141394e+00,2.243253624688295589e-01
3.139195402298850190e+00,2.240845692205594375e+00,2.113322368006842755e-01
3.159310344827585659e+00,2.318747822630642830e+00,2.860668180695412066e-01
3.179425287356321572e+00,2.141139173479772673e+00,2.347665213953117336e-01
3.199540229885057485e+00,1.893090600699549597e+00,1.070625903546098268e-01
3.219655172413792954e+00,2.528558284762243868e+00,1.827452492119487348e-01
3.239770114942528423e+00,1.757746984656055833e+00,2.047024644804673887e-01
3.259885057471263892e+00,2.243227743074573066e+00,2.460484474814827738e-01
3.279999999999999805e+00,2.025358445625978554e+00,2.315952452701242059e-01
