Temperature,Value,Error
1.530000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.550114942528735718e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.570229885057471186e+00,-6.546874999999998668e-01,0.000000000000000000e+00
1.590344827586206877e+00,6.548917483660130490e-01,0.000000000000000000e+00
1.610459770114942568e+00,-6.540441176470588314e-01,0.000000000000000000e+00
1.630574712643678259e+00,6.538092320261437163e-01,0.000000000000000000e+00
1.650689655172413728e+00,6.506740196078431016e-01,0.000000000000000000e+00
1.670804597701149419e+00,-4.207516339869155075e-03,0.000000000000000000e+00
1.690919540229885110e+00,-1.296854575163398637e+00,0.000000000000000000e+00
1.711034482758620801e+00,6.438725490196079981e-01,0.000000000000000000e+00
1.731149425287356269e+00,-6.443933823529413019e-01,0.000000000000000000e+00
1.751264367816091960e+00,-6.452410130718955195e-01,0.000000000000000000e+00
1.771379310344827651e+00,1.288337418300653514e+00,0.000000000000000000e+00
1.791494252873563120e+00,6.406862745098038658e-01,0.000000000000000000e+00
1.811609195402298811e+00,-1.279289215686274517e+00,0.000000000000000000e+00
1.831724137931034502e+00,-6.326388888888887507e-01,0.000000000000000000e+00
1.851839080459769971e+00,-2.042483660136262813e-05,0.000000000000000000e+00
1.871954022988505661e+00,1.257036356209150219e+00,0.000000000000000000e+00
1.892068965517241352e+00,-6.184027777777777457e-01,0.000000000000000000e+00
1.912183908045977043e+00,6.244995915032679479e-01,0.000000000000000000e+00
1.932298850574712734e+00,6.226817810457515590e-01,0.000000000000000000e+00
1.952413793103448203e+00,-1.224662990196078383e+00,0.000000000000000000e+00
1.972528735632183894e+00,-6.268280228758169592e-01,0.000000000000000000e+00
1.992643678160919585e+00,9.538398692810468038e-02,0.000000000000000000e+00
2.012758620689655054e+00,-3.443627450980391025e-02,0.000000000000000000e+00
2.032873563218390522e+00,-5.450367647058829146e-02,0.000000000000000000e+00
2.052988505747126435e+00,1.210549428104575220e+00,0.000000000000000000e+00
2.073103448275861904e+00,-6.028186274509803599e-01,0.000000000000000000e+00
2.093218390804597817e+00,6.015931372549019329e-01,0.000000000000000000e+00
2.113333333333333286e+00,-3.981719771241829520e-01,0.000000000000000000e+00
2.133448275862068755e+00,-2.679534313725490113e-01,0.000000000000000000e+00
2.153563218390804668e+00,-2.757863562091503740e-01,0.000000000000000000e+00
2.173678160919540137e+00,9.703839869281050134e-02,0.000000000000000000e+00
2.193793103448275605e+00,-1.588337418300652670e-01,0.000000000000000000e+00
2.213908045977011518e+00,7.288705065359476487e-01,0.000000000000000000e+00
2.234022988505746987e+00,-4.293709150326797674e-01,0.000000000000000000e+00
2.254137931034482456e+00,-1.463133169934640598e-01,0.000000000000000000e+00
2.274252873563218369e+00,6.911764705882361692e-02,0.000000000000000000e+00
2.294367816091953838e+00,7.239072712418299638e-01,0.000000000000000000e+00
2.314482758620689751e+00,-2.624591503268006165e-03,0.000000000000000000e+00
2.334597701149425220e+00,-3.515625000000000000e-01,0.000000000000000000e+00
2.354712643678160688e+00,2.347324346405228745e-01,0.000000000000000000e+00
2.374827586206896157e+00,-4.534313725490186908e-03,0.000000000000000000e+00
2.394942528735632070e+00,-3.918198529411764941e-01,0.000000000000000000e+00
2.415057471264367539e+00,8.573325163398695659e-02,0.000000000000000000e+00
2.435172413793103452e+00,9.562908496732028252e-02,0.000000000000000000e+00
2.455287356321838921e+00,-1.893790849673202548e-01,0.000000000000000000e+00
2.475402298850574390e+00,1.865298202614379119e-01,0.000000000000000000e+00
2.495517241379310303e+00,2.395731209150326335e-01,0.000000000000000000e+00
2.515632183908045771e+00,-1.665441176470588147e-01,0.000000000000000000e+00
2.535747126436781684e+00,-2.867136437908496815e-01,0.000000000000000000e+00
2.555862068965517153e+00,3.370812908496732541e-01,0.000000000000000000e+00
2.575977011494252622e+00,1.236621732026143561e-01,0.000000000000000000e+00
2.596091954022988091e+00,-6.228553921568627527e-02,0.000000000000000000e+00
2.616206896551724004e+00,-9.767156862745096646e-02,0.000000000000000000e+00
2.636321839080459917e+00,-5.372753267973856550e-02,0.000000000000000000e+00
2.656436781609195386e+00,1.061172385620915010e-01,0.000000000000000000e+00
2.676551724137930854e+00,-2.148794934640522736e-01,0.000000000000000000e+00
2.696666666666666323e+00,1.424019607843137469e-01,0.000000000000000000e+00
