Temperature,Value,Error
2.093218390804597817e+00,9.016850490196077761e-01,5.878034126826060801e-03
2.113333333333333286e+00,6.008884803921568096e-01,1.954588514647203346e-01
2.133448275862068755e+00,2.515318627450980338e-01,2.665677342854267384e-01
2.153563218390804668e+00,8.398897058823528994e-01,3.978219202936621873e-02
2.173678160919540137e+00,4.001531862745097423e-01,2.480857123522138274e-01
2.193793103448275605e+00,8.582720588235293047e-01,1.103463021064525137e-02
2.213908045977011518e+00,4.640931372549019218e-01,2.128607142209719139e-01
2.234022988505746987e+00,8.411458333333333703e-01,1.248918634554566087e-02
2.254137931034482456e+00,4.079963235294117863e-01,2.010622463389896697e-01
2.274252873563218369e+00,5.208946078431371252e-01,1.735374988114722350e-01
2.294367816091953838e+00,6.214154411764705177e-01,1.039122675443006211e-01
2.314482758620689751e+00,4.632352941176468702e-02,2.265676029293738070e-01
2.334597701149425220e+00,1.934742647058823595e-01,2.347103337224974440e-01
2.354712643678160688e+00,2.785232843137254721e-01,1.986339693236870430e-01
2.374827586206896157e+00,3.572303921568627944e-02,2.239660085815879942e-01
2.394942528735632070e+00,4.306066176470588758e-01,1.892826110314488053e-01
2.415057471264367539e+00,6.884191176470585982e-02,2.101669489212770747e-01
2.435172413793103452e+00,1.062806372549019718e-01,2.224589081244389144e-01
2.455287356321838921e+00,3.716299019607842702e-01,1.546593456969167224e-01
2.475402298850574390e+00,4.083946078431371224e-02,1.817362665273904998e-01
2.495517241379310303e+00,1.939644607843136748e-01,2.009603941779263825e-01
2.515632183908045771e+00,1.324142156862745112e-01,1.387023253786308086e-01
2.535747126436781684e+00,3.992953431372548989e-01,1.003402195182537121e-01
2.555862068965517153e+00,2.397671568627451344e-01,1.389739428031109003e-01
2.575977011494252622e+00,1.057291666666666519e-01,1.433380591911162516e-01
2.596091954022988091e+00,7.931985294117646634e-02,1.392856262436456549e-01
2.616206896551724004e+00,5.398284313725489753e-02,1.395394118289531860e-01
2.636321839080459917e+00,6.792279411764706731e-02,1.462025087514642330e-01
2.656436781609195386e+00,9.822303921568627250e-02,1.319032025935546748e-01
2.676551724137930854e+00,3.071691176470588425e-01,5.475169185767425617e-02
2.696666666666666323e+00,1.091299019607843146e-01,9.848363789695067927e-02
2.716781609195401792e+00,1.549632352941176239e-01,1.116033874083631333e-01
2.736896551724137705e+00,1.344669117647058765e-01,9.365990776745108937e-02
2.757011494252873618e+00,4.479166666666666019e-02,1.295751682280203987e-01
2.777126436781609087e+00,3.544730392156862642e-02,1.106651975368808105e-01
2.797241379310344556e+00,9.604779411764706454e-02,8.019173285994346534e-02
2.817356321839080024e+00,2.074448529411764552e-01,7.905731682136962757e-02
2.837471264367815937e+00,6.274509803921568540e-02,5.918987259329713119e-02
2.857586206896551406e+00,2.060049019607843035e-01,1.030210333539174905e-01
2.877701149425287319e+00,1.178002450980392135e-01,8.356981388838535807e-02
2.897816091954022788e+00,1.781250000000000056e-01,5.229346946528127399e-02
2.917931034482758257e+00,5.508578431372548184e-02,7.790415033578344806e-02
2.938045977011493726e+00,7.720588235294116586e-02,6.630145468689668808e-02
2.958160919540229639e+00,6.485906862745097201e-02,9.404203470674950271e-02
2.978275862068965552e+00,9.022671568627450844e-02,7.984955600777678131e-02
2.998390804597701020e+00,3.982843137254904291e-03,6.742657440760228826e-02
3.018505747126436489e+00,3.351715686274508998e-02,4.911997401498601618e-02
3.038620689655171958e+00,9.987745098039218367e-03,5.928240124606874717e-02
3.058735632183907871e+00,2.643995098039215660e-02,5.586831376826256051e-02
3.078850574712643340e+00,8.507965686274508721e-02,6.303906774765410947e-02
3.098965517241379253e+00,6.700367647058823317e-02,4.336513289603363686e-02
3.119080459770114722e+00,2.184436274509803794e-02,4.970995813084646414e-02
3.139195402298850190e+00,2.141544117647058501e-02,5.841580842559317144e-02
3.159310344827585659e+00,6.556372549019609704e-03,3.463212190220930214e-02
3.179425287356321572e+00,8.210784313725488781e-02,2.626037533037161795e-02
3.199540229885057485e+00,3.783700980392156604e-02,2.009285190393976170e-02
3.219655172413792954e+00,1.194852941176470463e-03,3.958358758906112274e-02
3.239770114942528423e+00,2.931985294117647051e-02,5.479430285075152784e-02
3.259885057471263892e+00,4.901960784313726116e-02,2.647617453208027036e-02
3.279999999999999805e+00,1.544117647058823248e-02,3.320789506601867086e-02
